"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000196975",10834.5716826578,-1.194659485613,0.136719865687728,-8.7380095028884,2.37253551427673e-18,4.80017507920763e-16,"ANXA4"
"ENSG00000213626",28638.6588119471,-1.45732671767796,0.380241977306082,-3.83262975856257,0.000126780688386211,0.00175663139372235,"LBH"
"ENSG00000235885",12.4161030136339,-1.80112395165792,0.518524830028257,-3.4735539116994,0.000513614168733049,0.00564166036128491,"LOC101927661"
"ENSG00000124374",41.3981058201813,-1.54668408356176,0.34175694874859,-4.52568437664618,6.02003696820786e-06,0.000126420776332365,"PAIP2B"
"ENSG00000162878",3452.47261006738,-1.54971977448114,0.309531020344064,-5.00667032583205,5.53796578422423e-07,1.55758391922217e-05,"PKDCC"
"ENSG00000150938",24571.4504492744,-1.05810546097933,0.277431333140563,-3.81393640365499,0.000136770677824955,0.00186348810568744,"CRIM1"
"ENSG00000143891",1122.25625048873,1.1247876664867,0.137141109242375,8.20168126610981,2.37048114039956e-16,3.81221992630411e-14,"GALM"
"ENSG00000170485",606.416704300875,-1.16554358858664,0.239594961450412,-4.86464148298825,1.14664460628458e-06,2.93142186302319e-05,"NPAS2"
"ENSG00000081320",3242.44978475906,-1.12340834780819,0.293768020101114,-3.8241342519908,0.00013123239704217,0.00180107132220676,"STK17B"
"ENSG00000187957",18.6422894854012,-1.67584359045942,0.62688876424986,-2.67327105864587,0.00751155287041745,0.0474923987936071,"DNER"
"ENSG00000091428",76.276868593742,1.17887988512107,0.292150021846865,4.03518670876225,5.45588947437812e-05,0.000863397950798139,"RAPGEF4"
"ENSG00000287091",56.015591988431,-1.08003552331466,0.272589311899564,-3.96213452313419,7.42826644665614e-05,0.00112265270249222,NA
"ENSG00000163083",904.065516668799,-3.59873048581779,0.676401397889964,-5.32040663582902,1.03535572354672e-07,3.51013572869462e-06,"INHBB"
"ENSG00000178662",82.462980935278,1.25297705510458,0.286526418416165,4.37298962528717,1.22556550321986e-05,0.000237001444075897,"CSRNP3"
"ENSG00000182329",10.5690704039317,1.89833223892852,0.639041178729389,2.97059454400573,0.0029722390277253,0.0230052034330232,"KIAA2012"
"ENSG00000196950",1771.04503486069,1.21455749772844,0.233116179891571,5.2100952336014,1.88743724234676e-07,5.95872804563703e-06,"SLC39A10"
"ENSG00000226121",315.395663793181,-1.19959446032963,0.248616240435155,-4.82508487068249,1.39943662167386e-06,3.4601576180572e-05,NA
"ENSG00000241399",1767.03615255672,-1.73471861210994,0.338104333787252,-5.13071983632572,2.88636242766923e-07,8.83086104699582e-06,"CD302"
"ENSG00000132321",58.5331009593981,1.48303379246055,0.446640765353138,3.32041745291203,0.0008988293554668,0.00893091386304672,"DRC11"
"ENSG00000168918",36.1946113861163,1.92740256422409,0.499567877811637,3.85813950381898,0.000114253432046857,0.00160839605706795,"INPP5D"
"ENSG00000170745",185.22988753755,-1.04574833930867,0.292000330510944,-3.58132587548382,0.000341854939658755,0.00406338758346123,"KCNS3"
"ENSG00000171227",30.6928285198807,2.06302917024927,0.684644972614587,3.01328316539123,0.00258437651879049,0.0207014170189706,"TMEM37"
"ENSG00000162975",9.72168748537447,1.9762050767825,0.719835908941786,2.7453549513634,0.0060445481177703,0.0402029753919993,"KCNF1"
"ENSG00000115828",751.674583885694,-1.18685518879716,0.299507599733813,-3.96268805817274,7.4110588241153e-05,0.00112185424645658,"QPCT"
"ENSG00000163171",3113.95274651263,-1.53510003114391,0.287994366043489,-5.3303127149095,9.80437955341197e-08,3.335971169566e-06,"CDC42EP3"
"ENSG00000135917",112.786839495462,-1.43237248348117,0.342778894866343,-4.17870675509261,2.93171404371821e-05,0.000502396461262312,"SLC19A3"
"ENSG00000163072",41.9782367895884,-1.09982833984634,0.282494841392528,-3.89326875643056,9.89024773046683e-05,0.00142820338677255,"NOSTRIN"
"ENSG00000243244",2246.85205183113,-1.46031864167235,0.22585557563813,-6.46571880081497,1.00818407081796e-10,6.75088664644508e-09,"STON1"
"ENSG00000154479",64.3744820119311,-1.23003640563686,0.424429422121744,-2.89809410357993,0.00375437922756623,0.0275863991337136,"CFAP210"
"ENSG00000144362",145.172445200079,-1.40782054135183,0.300260757889355,-4.68865978773894,2.7500014089884e-06,6.29489373619535e-05,"PHOSPHO2"
"ENSG00000213160",449.275990900227,-1.65477248390384,0.319802255759633,-5.17436151278304,2.28691657443334e-07,7.12427520936056e-06,"KLHL23"
"ENSG00000143878",7193.30611079846,-1.19999813489833,0.179242937076378,-6.69481405778906,2.15946037368327e-11,1.62529625564898e-09,"RHOB"
"ENSG00000237126",32.1832071088233,-1.09418873162088,0.365312942796413,-2.99520932175313,0.00274256562644848,0.0216278771279357,NA
"ENSG00000134321",12.0965931846186,2.97184946816457,1.07374482967663,2.76774275044434,0.00564459910721098,0.0380131627778389,"RSAD2"
"ENSG00000123610",706.13118768365,2.55181747205205,0.489296058003904,5.2152831201262,1.83536688580874e-07,5.80407786947516e-06,"TNFAIP6"
"ENSG00000082126",39.0147325844705,-1.37165266218989,0.391746259479054,-3.50138036803191,0.000462854722765908,0.00516859018609099,"MPP4"
"ENSG00000198203",21.3149307933917,1.60232251026463,0.41410545463447,3.86935861948257,0.000109122036560323,0.00155078567969716,"SULT1C2"
"ENSG00000198075",14.2506889896878,1.72104456980906,0.452118512136573,3.80662265226862,0.000140877441709916,0.00190976220692636,"SULT1C4"
"ENSG00000163017",2540.45494540691,-1.92207938003253,0.671570774512851,-2.86206525503851,0.00420890240517784,0.0301579237074738,"ACTG2"
"ENSG00000084090",7947.90627380136,-1.26697076856407,0.193048188166172,-6.56297673963917,5.27440778453755e-11,3.70310659977084e-09,"STARD7"
"ENSG00000123612",46.3329695868942,1.37920199261611,0.313083307102995,4.40522366196418,1.05674787152982e-05,0.000208643944918206,"ACVR1C"
"ENSG00000127824",462.218053548551,1.56345184073147,0.193725192589432,8.07046218322746,7.00325535082475e-16,1.06268752162192e-13,"TUBA4A"
"ENSG00000128699",3968.76220745693,-1.03453267142063,0.156125882253826,-6.62627270050399,3.44268918992476e-11,2.49144768452401e-09,"ORMDL1"
"ENSG00000272622",128.226581310676,-1.09063405426051,0.388037305898694,-2.81064226990908,0.00494427244308435,0.0342500757269372,NA
"ENSG00000169031",88.4740426419519,-2.16305014923816,0.392961485309977,-5.50448384917901,3.702514009344e-08,1.41311366328228e-06,"COL4A3"
"ENSG00000081052",456.880154781313,-2.00179673354278,0.408762988258502,-4.89720642779146,9.7208705363285e-07,2.5280080876043e-05,"COL4A4"
"ENSG00000072163",1450.98199487365,-1.32303590376926,0.332309784903533,-3.98133297264579,6.85298692972944e-05,0.00104663800381322,"LIMS2"
"ENSG00000176771",235.693232364488,2.17422088774623,0.28347864264017,7.669787280963,1.72281824379228e-14,2.13266763652603e-12,"NCKAP5"
"ENSG00000003402",5396.46868621362,-1.18873389547357,0.165553759605353,-7.18034974444113,6.95333105891948e-13,7.30915515109659e-11,"CFLAR"
"ENSG00000138073",3754.18369263355,-1.120304669093,0.222416711561938,-5.03696265098775,4.72977024622958e-07,1.36495946247018e-05,"PREB"
"ENSG00000138074",958.026264779984,-1.21043968525679,0.179260852679234,-6.75239276822323,1.45426541070335e-11,1.14014408199143e-09,"SLC5A6"
"ENSG00000136546",11060.2645014758,-1.43727068326804,0.386422084154785,-3.71943204646743,0.00019967125614501,0.00255753189627264,"SCN7A"
"ENSG00000138356",9841.91442587406,-1.4630044486581,0.316279167326624,-4.62567440348432,3.73381465775978e-06,8.29462297525478e-05,"AOX1"
"ENSG00000143942",29.6719958371645,-1.09664186463705,0.330474084572729,-3.31838990054214,0.000905380073023734,0.0089897791314061,"CHAC2"
"ENSG00000289003",32.2343413839384,-1.28787262485308,0.327426490497477,-3.93331835459111,8.3781156769104e-05,0.00124323836416992,NA
"ENSG00000288065",43.0416031384541,1.27565045314534,0.331281218652224,3.85065733075713,0.000117801225806833,0.00165167501101443,NA
"ENSG00000214184",9.96022080191192,1.95760718680431,0.590620467621577,3.314492629569,0.000918096002279444,0.00907771643662113,"GCC2-AS1"
"ENSG00000163251",118.822795742398,-2.47916374134264,0.364736874602317,-6.79712942116351,1.06724218809947e-11,8.65570216003433e-10,"FZD5"
"ENSG00000144369",2847.81608652359,1.33142303185674,0.111646290307439,11.9253674097941,8.72980320987677e-33,7.82190367604958e-30,"FAM171B"
"ENSG00000204335",11.2608859400736,2.45024985426388,0.868443681720672,2.82142631219232,0.00478106200205404,0.0333063541764712,"SP5"
"ENSG00000116106",645.620159873131,-1.35971271979375,0.440883223192667,-3.08406545830289,0.00204192662889254,0.0173281354803207,"EPHA4"
"ENSG00000163803",219.665909163039,-1.52949802763783,0.317613804132676,-4.81559053081623,1.4676520500728e-06,3.61457342593846e-05,"PLB1"
